Strategy,Algorithm,cv_scores,cv_mean,cv_std,test_accuracy,auc,sensitivity,specificity,f1_score,train_size,test_size
early,RandomForest,[0.4508547  0.44230769 0.40384615 0.43040685 0.45824411],0.43713190212119546,0.019047292309597025,0.43162393162393164,0.6361822577343718,0.45907708111097945,0.49444758140410316,0.42163816613761496,2104.0,234.0
early,LogisticRegression,[0.68162393 0.67307692 0.69230769 0.70235546 0.72376874],0.6946265488021377,0.017594514501420553,0.6965811965811965,0.8028451819434945,0.6852514716921497,0.6804396075370039,0.6825425968020827,2104.0,234.0
early,SVM,[0.35897436 0.3482906  0.32264957 0.35331906 0.35546039],0.3477387946338696,0.01301363711530138,0.3333333333333333,0.6620661089023937,0.3993125518549247,0.5278571506771329,0.2882062614230793,2104.0,234.0
mid,RandomForest,[0.38888889 0.37606838 0.35897436 0.4111349  0.4111349 ],0.38924028624242757,0.020240541460761565,0.3504273504273504,0.5880699901234533,0.3999249338232389,0.4267935767935767,0.3344066785927251,2104.0,234.0
mid,LogisticRegression,[0.51282051 0.48504274 0.48076923 0.50321199 0.51391863],0.4991526199234979,0.013844585091328583,0.5,0.7089093531188025,0.539018608510134,0.5762243147687892,0.4976391142246042,2104.0,234.0
mid,SVM,[0.30769231 0.32264957 0.29273504 0.33618844 0.31263383],0.3143798385768407,0.01456208948852561,0.3076923076923077,0.6367393308263929,0.38636956264074906,0.49003896430367017,0.24910627446374548,2104.0,234.0
late,RandomForest,[0.41239316 0.40598291 0.39423077 0.40149893 0.42077088],0.40697532897747035,0.012244487185859696,0.4188034188034188,0.6459695616697615,0.43746987475801036,0.43450175738576996,0.4098472310428347,,
late,LogisticRegression,[0.61217949 0.61004274 0.60790598 0.6124197  0.63062099],0.6146337780706089,0.013424308504470165,0.6709401709401709,0.8206987286093265,0.6778080676385762,0.6651887586227218,0.6620281804559661,,
late,SVM,[0.35576923 0.34615385 0.31730769 0.34261242 0.34582441],0.3415335200131774,0.01339275390676666,0.4700854700854701,0.655431347566661,0.3333333333333333,0.15669515669515668,0.21317829457364343,,
